,orderID,namaPesanan,recommendationShown,recommendationAccepted
105,1fXrKQAFsbMnIzRsyfqb,"['float', 'gorengan']",True,False
106,1gIw8PY07vH4ox1QKN6h,"['risol mayo', 'cireng isi', 'pisang coklat keju']",True,False
107,1h1OPfREQWHWU4YpRnGZ,['kopi'],True,False
108,1hg2Pr4Pec63vGUTRx18,['teh'],True,False
109,1iqGZeAbUGxLxaXXojuX,"['kopi', 'tahu krispy']",True,False
110,1jQoNYdoLpchDlGfzvSz,"['risol mayo', 'gorengan', 'air putih']",False,False
111,1kugR6zhRwzjOi6BwpM6,['sosis goreng'],False,False
112,1lBd4fDboLlLGsE7gRsX,"['sayur harian', 'air putih']",False,True
113,1lyLxpuqwXkdbiqsx9z0,['kopi'],False,False
114,1m7Otx4m9Nd4jNlyfeWq,"['kopi', 'teh']",True,False
115,1mLIgNZ6WlVZtvMqpcKK,"['kopi', 'cireng isi', 'gorengan']",True,False
116,1nbThTkrWIAyR8HoyLSH,"['nasi goreng', 'penyetan', 'penyetan']",True,True
117,1oNj79GUJyV3m8DiYVAX,['mie'],False,False
118,1reyJU4PdN6cthZSk67t,"['sayur harian', 'gorengan']",True,False
119,1rxsxudCdNw3bEhPWo3n,['risol mayo'],True,True
120,1ulXvJApFMLgg4Rqhcsy,['risol mayo'],True,False
121,1utnvU0r8km8FwwIkDL8,"['float', 'float', 'gorengan', 'pisang coklat keju', 'cireng isi', 'nasi goreng', 'risol mayo', 'float', 'teh']",True,True
122,1vJbaCZAtqVJoapZdW7f,"['nasi goreng', 'gorengan', 'mie', 'nasi putih', 'teh']",True,False
123,1wrOtWCgbbRFWfVxkGnt,"['mie', 'teh']",False,False
124,1wulgn8r3BNSYuqQwCjC,['air putih'],True,False
125,1x7Ma4eE0JIiY9IPTWMV,"['penyetan', 'teh']",True,False
126,1xNUwo0RAlJNWrXK16pm,"['cireng isi', 'es jeruk', 'es krim', 'penyetan']",True,False
127,1ymmBFhZ9uE3rQpUaWQC,"['sayur harian', 'teh']",False,False
